,0
0,2.3
1,2.8
2,2.5
3,2.5
4,2.1
5,2.4000000000000004
6,2.3
7,2.6
8,2.35
9,2.4000000000000004
10,2.1
11,2.25
12,2.9000000000000004
13,2.75
14,2.5
15,2.4000000000000004
16,0.8999999999999999
17,2.4000000000000004
18,2.3
19,2.4000000000000004
20,2.35
21,2.4000000000000004
22,2.5
23,1.5499999999999998
24,2.1
25,2.3
26,2.3
27,2.4000000000000004
28,2.35
29,2.35
30,3.7
31,2.75
32,2.1
33,2.7
34,2.35
35,1.7000000000000002
36,2.45
37,2.75
38,2.3
39,2.35
40,2.15
41,1.1
42,2.45
43,2.45
44,2.5
45,2.45
46,3.1500000000000004
47,2.5
48,2.1
49,2.0
50,3.25
51,2.7
52,2.3
53,1.7999999999999998
54,2.4000000000000004
55,2.35
56,2.8
57,2.6500000000000004
58,2.8
59,1.9
60,1.95
61,1.95
62,2.2
63,2.5
64,2.5
65,2.8
66,2.5
67,4.3
