,0
0,2.666666666666667
1,2.708333333333333
2,2.291666666666667
3,2.5
4,4.5
5,2.375
6,4.5
7,2.583333333333333
8,2.875
9,2.666666666666667
10,2.5
11,2.25
12,2.541666666666667
13,2.25
14,2.375
15,2.25
16,2.833333333333333
17,2.5
18,2.375
19,2.666666666666667
20,2.833333333333333
21,3.041666666666667
22,2.5
23,3.8333333333333335
24,4.0
25,2.416666666666667
26,4.5
27,2.166666666666667
28,2.541666666666667
29,2.5
30,2.0
31,2.875
32,4.166666666666667
33,2.083333333333333
34,3.25
35,4.0
36,2.666666666666667
37,2.5
38,2.666666666666667
39,4.166666666666667
40,4.0
41,3.7083333333333335
42,2.625
43,2.583333333333333
44,2.333333333333333
45,2.541666666666667
46,2.458333333333333
47,2.5
48,2.375
49,1.875
50,2.25
51,2.625
52,4.5
53,4.5
54,2.375
55,3.166666666666667
56,2.666666666666667
57,2.5
58,2.125
59,3.5
60,2.875
61,2.833333333333333
62,2.541666666666667
63,2.541666666666667
64,3.166666666666667
65,2.75
66,2.375
67,2.333333333333333
