,0
0,2.4000000000000004
1,2.55
2,2.4000000000000004
3,2.4000000000000004
4,1.2999999999999998
5,2.5
6,3.5
7,2.45
8,2.2
9,2.4000000000000004
10,2.6500000000000004
11,1.85
12,2.5
13,2.4000000000000004
14,2.5
15,2.3
16,3.7
17,2.5
18,2.4000000000000004
19,2.4000000000000004
20,2.45
21,2.5
22,2.5
23,4.5
24,0.8999999999999999
25,3.0
26,3.5
27,2.0
28,2.6500000000000004
29,2.6
30,1.9
31,2.9
32,2.6500000000000004
33,2.6
34,1.85
35,4.5
36,2.7
37,2.4000000000000004
38,2.15
39,3.7
40,2.75
41,4.0
42,2.05
43,2.7
44,2.9
45,2.55
46,2.95
47,2.5
48,2.6500000000000004
49,1.6
50,2.6500000000000004
51,2.5
52,2.3
53,2.4000000000000004
54,2.2
55,3.0
56,2.55
57,2.75
58,2.4000000000000004
59,3.5
60,3.5
61,2.3
62,2.8
63,2.45
64,2.15
65,2.5
66,2.75
67,4.1
