,0
0,4.75
1,3.75
2,4.25
3,4.25
4,4.5
5,5.0
6,5.0
7,2.0
8,3.5
9,5.0
10,3.5
11,4.5
12,3.5
13,4.5
14,3.75
15,4.25
16,1.25
17,3.75
18,3.5
19,5.0
20,2.0
21,4.25
22,3.25
23,2.5
24,3.75
25,3.25
26,5.0
27,4.0
28,4.75
29,2.25
30,1.25
31,3.25
32,4.0
33,2.0
34,3.0
35,3.5
36,3.25
37,3.75
38,3.75
39,4.5
40,4.5
41,4.25
42,3.5
43,3.5
44,3.0
45,4.5
46,1.5
47,3.5
48,3.75
49,3.5
50,2.75
51,2.75
52,5.0
53,4.0
54,3.25
55,5.0
56,4.75
57,3.5
58,3.25
59,3.5
60,2.25
61,3.25
62,2.5
63,2.75
64,1.75
65,3.25
66,5.0
67,3.25
