,0
0,3.6
1,3.6666666666666665
2,3.8333333333333335
3,3.5666666666666664
4,4.066666666666666
5,3.5
6,6.0
7,3.333333333333333
8,3.1666666666666665
9,4.166666666666666
10,3.733333333333333
11,4.266666666666667
12,3.1333333333333333
13,3.8666666666666663
14,3.4
15,3.5333333333333337
16,3.5333333333333337
17,3.6
18,3.2666666666666666
19,3.2666666666666666
20,3.5666666666666664
21,3.733333333333333
22,3.7
23,3.666666666666667
24,3.366666666666667
25,3.5333333333333337
26,6.0
27,3.4
28,3.1666666666666665
29,3.5333333333333337
30,3.466666666666667
31,4.266666666666667
32,3.9
33,3.3666666666666667
34,2.866666666666667
35,3.7
36,3.1666666666666665
37,3.333333333333333
38,3.1
39,4.766666666666667
40,4.2
41,5.466666666666667
42,3.6
43,3.166666666666667
44,3.6666666666666665
45,3.2333333333333334
46,3.6666666666666665
47,3.5
48,3.5
49,4.433333333333334
50,2.9666666666666663
51,3.533333333333333
52,3.4666666666666663
53,3.4333333333333336
54,3.0333333333333337
55,3.1666666666666665
56,4.666666666666666
57,3.1666666666666665
58,2.9
59,2.4333333333333336
60,4.6
61,5.133333333333333
62,3.6
63,3.3
64,4.666666666666666
65,3.866666666666666
66,3.1
67,4.233333333333333
